Fold,RF_Acc,RF_BalAcc,RF_F1,RF_ROC,RF_Prec,RF_Rec,SVM_Acc,SVM_BalAcc,SVM_F1,SVM_ROC,SVM_Prec,SVM_Rec,XGB_Acc,XGB_BalAcc,XGB_F1,XGB_ROC,XGB_Prec,XGB_Rec,LGB_Acc,LGB_BalAcc,LGB_F1,LGB_ROC,LGB_Prec,LGB_Rec,FCNN32_Acc,FCNN32_BalAcc,FCNN32_F1,FCNN32_ROC,FCNN32_Prec,FCNN32_Rec,FCNN8_Acc,FCNN8_BalAcc,FCNN8_F1,FCNN8_ROC,FCNN8_Prec,FCNN8_Rec,AE32_Acc,AE32_BalAcc,AE32_F1,AE32_ROC,AE32_Prec,AE32_Rec,AE8_Acc,AE8_BalAcc,AE8_F1,AE8_ROC,AE8_Prec,AE8_Rec
21,0.998523528,0.973935042,0.9834190439621016,0.9927193900632516,0.994224674,0.973935042,0.9576824156982282,0.8317319937405994,0.8570382587087226,0.9422892850748164,0.918437021,0.8317319937405994,0.9989759954277005,0.9798226105598238,0.9712418918347397,0.9999670612426339,0.9701444826828409,0.9798226105598238,0.9980948752143265,0.9689083738270494,0.9819929249946191,0.9992753100274844,0.9971162275360038,0.9689083738270494,0.9908077729091256,0.9153222867255209,0.942538112,0.9980230167780164,0.9824401629108548,0.9153222867255209,0.9864974280815394,0.9364948466765567,0.9529590946787185,0.9993797702613082,0.9766289531565021,0.9364948466765567,0.991498381,0.9207692970661148,0.9421350089525228,0.9986993806201144,0.973614045,0.9207692970661148,0.9859973328253001,0.9495983758214087,0.9350167918395756,0.9994348233794851,0.9237020784383918,0.9495983758214087
22,0.998499714,0.9696467277744918,0.9762603208627164,0.9929967280504746,0.9853325935691202,0.9696467277744918,0.955134311,0.8800774277408308,0.852651614,0.9510065670117064,0.8404201018886239,0.8800774277408308,0.9989759954277005,0.9796656587058715,0.9705896223676089,0.9999816427360559,0.9689887814815152,0.9796656587058715,0.998261574,0.9674119518209174,0.9802156305871909,0.9984182625505139,0.9950120070815178,0.9674119518209174,0.991855592,0.9265788200445872,0.9374262951045822,0.9986876151895492,0.9580211551891952,0.9265788200445872,0.9890693465421985,0.9244179421954081,0.942531299,0.9977676353910808,0.97280449,0.9244179421954081,0.9955705848733092,0.9338599259880664,0.9556964530316372,0.9993073928229896,0.9847961509983348,0.9338599259880664,0.9901886073537817,0.9402287212555246,0.9519959999968018,0.9994488446793484,0.9680926675627632,0.9402287212555246
23,0.9984044579919984,0.967852232,0.9798728029868896,0.992372698,0.9936938772058164,0.967852232,0.9416317393789292,0.8376864917579486,0.8486406110302089,0.9312214116554832,0.9130013715229968,0.8376864917579486,0.998809297,0.9783764825193345,0.970294317,0.9999766852478338,0.9697344907155055,0.9783764825193345,0.9982139455134311,0.9661771914690943,0.9800586429858171,0.9993845091042383,0.9964845650846275,0.9661771914690943,0.9949037911983236,0.9354505059521896,0.9478184828057282,0.9980767342872008,0.9674708431927724,0.9354505059521896,0.9902362354734235,0.9307823795981418,0.9530953794176491,0.9981762449514763,0.9832137210479253,0.9307823795981418,0.9956658411125928,0.9441941351548968,0.9626257145536192,0.9994143569209838,0.9854488364229816,0.9441941351548968,0.9903076776528863,0.9458285579026668,0.9559253787290373,0.9989055931325619,0.9704463224049058,0.9458285579026668
24,0.998547342,0.972474194,0.9832594156556264,0.9930895130549504,0.9955445734874568,0.972474194,0.9448466374547532,0.8472804106991071,0.8659109548490758,0.951624906,0.901026995,0.8472804106991071,0.9989521813678796,0.9790004250220807,0.9707820392393258,0.9999828827475133,0.9700854074035642,0.9790004250220807,0.9981901314536102,0.9690014037566015,0.981375099,0.9986710331461327,0.9955640090630467,0.9690014037566015,0.9951657458563536,0.9373602760143932,0.9587534950868368,0.999429521,0.986164537,0.9373602760143932,0.9860925890645837,0.9592538327930403,0.9580428185041217,0.9987036496756476,0.9609878951782521,0.9592538327930403,0.9958801676509812,0.941479832,0.9545748278368478,0.9993383530081864,0.9728552903296506,0.941479832,0.9905934463707373,0.9352990367417084,0.954457088,0.9994342161079335,0.9775406694583317,0.9352990367417084
25,0.9984282720518194,0.9679016927492606,0.9807086703398762,0.9930648041675952,0.9955372303981798,0.9679016927492606,0.9310344827586208,0.8088931792026985,0.8019717305696058,0.9376267596356804,0.8329873192826747,0.8088931792026985,0.9988569251285959,0.9774443213383066,0.98630396,0.9999808289125481,0.9964760443419963,0.9774443213383066,0.9982139455134311,0.9689675760482973,0.9813073837676254,0.9994038375284675,0.9954611491953784,0.9689675760482973,0.995332444,0.9303239338239104,0.9426295106635248,0.9992907507252908,0.9631441323450698,0.9303239338239104,0.9899742808153934,0.945983052,0.9573331518309767,0.9996321957136074,0.9721858097220735,0.945983052,0.9926652695751572,0.936192743,0.9540879553675868,0.999445695,0.9754913598647672,0.936192743,0.9895456277386169,0.9308604105174549,0.9414897627872953,0.9995040552183639,0.9574074065938116,0.9308604105174549
26,0.9984044579919984,0.9680345809636752,0.9807619931817536,0.9930296837793648,0.9955098925175936,0.9680345809636752,0.9571346923223472,0.8574702105678409,0.8769341258139696,0.9455146952919232,0.916383428,0.8574702105678409,0.9988807391884168,0.9781073520621759,0.9696426896505917,0.9999823308666822,0.9686643727493235,0.9781073520621759,0.9982853876928939,0.970479991,0.9829618640453119,0.9987249435102291,0.9972694488925776,0.970479991,0.994760907,0.9293588607252138,0.9532930284589156,0.999038,0.9867634176572538,0.9293588607252138,0.9899980948752143,0.9486635542814728,0.9591598846124725,0.9994960932411096,0.9724781243412983,0.9486635542814728,0.9957610973518766,0.942402608,0.9618924,0.999374116,0.9860950253013646,0.942402608,0.988926462,0.9412502167077261,0.957404345,0.9996407695053329,0.977431433,0.9412502167077261
27,0.9984282720518194,0.9721417667332086,0.9830541951050288,0.9930315250069324,0.9954647793653068,0.9721417667332086,0.9308439702800534,0.8163760169393167,0.8293967576779602,0.9507640968281472,0.8766531157283274,0.8163760169393167,0.9988569251285959,0.977427491,0.986049687,0.9999831358287745,0.995952097,0.977427491,0.9981901314536102,0.9706537474272892,0.9820752932548765,0.9994461196050316,0.9951382059810057,0.9706537474272892,0.9940941131644124,0.925028778,0.938990635,0.9979413582939514,0.9633563087988358,0.925028778,0.9934749476090684,0.9294499213991851,0.9415429050786333,0.9983604924815406,0.9610267812290005,0.9294499213991851,0.9954277005143836,0.9410131243490916,0.9619824872623882,0.9994826189749704,0.9889169683436768,0.9410131243490916,0.9939512288054868,0.9265652611285549,0.9498050674314291,0.9994800434673554,0.9822571419632595,0.9265652611285549
28,0.9984520861116404,0.9679040853910864,0.9805982038096908,0.9930883598293055,0.9953106857390446,0.9679040853910864,0.7682177557630024,0.8479347808468786,0.8291243628007354,0.9486238738745983,0.8618169756822213,0.8479347808468786,0.998833111,0.9784239073509764,0.969577696,0.99997847,0.9682388386431433,0.9784239073509764,0.9981663173937892,0.9689238638223675,0.9812820284949707,0.9993336137717734,0.9954524731864692,0.9689238638223675,0.9949037911983236,0.9354075101323466,0.9467704895766818,0.9992374674798638,0.9645331973765506,0.9354075101323466,0.9861164031244046,0.9258355383129199,0.9468956866532613,0.9985242551513522,0.9771637295900437,0.9258355383129199,0.9951419317965328,0.9461754155677468,0.963328005,0.9992925103356078,0.9841732228898052,0.9461754155677468,0.9872594779958087,0.9359999199232548,0.942866988,0.9992226348399673,0.9534365676465779,0.9359999199232548
29,0.9983568298723566,0.9691684813891074,0.9813998210147672,0.9921575997658308,0.9954461829943464,0.9691684813891074,0.9221756525052393,0.8328624547642891,0.8367116141403947,0.9491425966959876,0.8795155710798972,0.8328624547642891,0.9987378548294913,0.9770502453261452,0.9696850316159011,0.9999819576509493,0.9698901802270593,0.9770502453261452,0.9980472470946847,0.9641986460445546,0.9784821442641827,0.9978141981505769,0.9953077081519037,0.9641986460445546,0.9921413602590968,0.925252577,0.9510806522197002,0.9993092087534248,0.9859510622137784,0.925252577,0.9901886073537817,0.9364370436401445,0.9502246051862553,0.9991379947662595,0.9724316109869974,0.9364370436401445,0.995642027,0.948025527,0.9593328229152336,0.999386336,0.973218307,0.948025527,0.9899504667555725,0.9387949316652654,0.9487285187285663,0.9988827257158728,0.9632721040879073,0.9387949316652654
30,0.9983568298723566,0.9677551789244409,0.9805389222393676,0.9929327472669904,0.9953450425253778,0.9677551789244409,0.954253191,0.867590354,0.8683071549577727,0.9467952999495506,0.8855721963793185,0.867590354,0.9989521813678796,0.9781680408372584,0.977869896,0.9999731561466241,0.9810230601633161,0.9781680408372584,0.997975805,0.9671997011172098,0.9801240748429275,0.9985638325878222,0.9950728681034409,0.9671997011172098,0.995046676,0.934414186,0.9456175237139128,0.9984946132648612,0.9633148982765232,0.934414186,0.9907363307296628,0.9489506548264199,0.9596162125245992,0.9985422145111703,0.9731489168887106,0.9489506548264199,0.9946656506001144,0.9344382781984412,0.955306437,0.9993617720847806,0.9816811951832104,0.9344382781984412,0.9894027433796914,0.9310292939085358,0.9417325443435458,0.999471657,0.956588385,0.9310292939085358
